System,T(K),GammaInf,Ref,1,2,3,4,5,6
n-pentane/ethanol,298,9,10,,,,,,
n-pentane/ethanol,323,8.3,15,,,,,,
n-pentane/ethanol,343,7.8,15,,,,,,
n-heptane/ethanol,313,15.34,16,9.34,9.23,8.37,10.85,11.77,11.64
n-heptane/ethanol,333,14.21,12,8.87,8.54,7.8,9.9,11.2,10.33
n-decane/ethanol,298,28,10,17.52,17.64,15.42,24.56,29.76,21.76
n-decane/ethanol,323,20.2,10,16.05,15.52,13.63,21.81,27.37,18.43
n-decane/ethanol,343,17.5,10,14.97,13.92,12.39,18.66,25.58,15.21
n-decane/ethanol,363,15,10,13.96,12.43,11.31,14.84,23.89,11.89
n-hexadecane/ethanol,298,77,10,46.65,47.15,38.34,109.54,170.93,65.89
n-hexadecane/ethanol,323,46,10,40.8,38.72,31.71,91.23,150.25,50.97
n-hexadecane/ethanol,343,33.5,10,35.62,32.75,27.39,71.78,135.35,37.9
n-hexadecane/ethanol,363,27.5,10,32.88,27.52,23.78,50.48,121.9,25.89
n-eicosane/ethanol,323,70,10,70.17,65.78,51.43,234.83,464.99,100.23
n-eicosane/ethanol,343,52,10,61.42,53.52,42.92,174.73,408.82,69.51
n-eicosane/ethanol,363,40,10,53.78,43.17,36.07,113.19,359.3,43.41
n-heptane/n-propanol,333,6.34,11,5.78,5.62,2.74,6.05,6.46,6.6
n-heptane/n-propanol,353,5.89,11,5.53,5.25,2.76,5.47,6.19,5.9
n-heptane/n-butanol,353,5.13,11,4.12,3.94,3.34,4.02,4.36,4.4
n-heptane/n-butanol,373,4.76,11,3.95,3.7,3.19,3.6,4.2,4.01
