System,T(K),GammaInf,"DOI 10.1007/s10822-006-9079-6",
"1,1,1,2-Tetrachloroethane/water","298.15","8866.19","DOI 10.1007/s10822-006-9079-6",
"1,1,1-Trichloroethane/water","298.15","5884.05","DOI 10.1007/s10822-006-9079-6",
"1,1,2,2-Tetrabromoethane/water","298.15","29436.77","DOI 10.1007/s10822-006-9079-6",
"1,1,2,2-Tetrachloroethane/water","298.15","3463.38","DOI 10.1007/s10822-006-9079-6",
"1,1,2-Trichloroethane/water","298.15","1495.18","DOI 10.1007/s10822-006-9079-6",
"1,1-Dichloroethane/water","298.15","1074.92","DOI 10.1007/s10822-006-9079-6",
"1,2,3-Trichloropropane/water","298.15","4315.64","DOI 10.1007/s10822-006-9079-6",
"Dibromoethane/water","298.15","2540.2","DOI 10.1007/s10822-006-9079-6",
"1,2-Dibromopropane/water","298.15","7863.6","DOI 10.1007/s10822-006-9079-6",
"1,2-Dichlorobenzene/water","298.15","68186.37","DOI 10.1007/s10822-006-9079-6",
"1,2-Dichloroethane/water","298.15","639.06","DOI 10.1007/s10822-006-9079-6",
"1,2-Dichloropropane/water","298.15","2321.57","DOI 10.1007/s10822-006-9079-6",
"1,3-Dibromopropane/water","298.15","6634.24","DOI 10.1007/s10822-006-9079-6",
"1,3-Dichlorobenzene/water","298.15","66171.16","DOI 10.1007/s10822-006-9079-6",
"1,3-Dichloropropane/water","298.15","2298.47","DOI 10.1007/s10822-006-9079-6",
"1,3-Dichloropropene/water","298.15","1394.09","DOI 10.1007/s10822-006-9079-6",
"1,4-Dichlorobenzene/water","298.15","101722.11","DOI 10.1007/s10822-006-9079-6",
"1-Bromo-2-chloroethane/water","298.15","1164.45","DOI 10.1007/s10822-006-9079-6",
"1-Bromobutane/water","298.15","12209.87","DOI 10.1007/s10822-006-9079-6",
"1-Bromopentane/water","298.15","66171.16","DOI 10.1007/s10822-006-9079-6",
"1-Bromopropane/water","298.15","2864.07","DOI 10.1007/s10822-006-9079-6",
"1-Chloro-2-methylpropane/water","298.15","5541.39","DOI 10.1007/s10822-006-9079-6",
"1-Chlorobutane/water","298.15","7631.2","DOI 10.1007/s10822-006-9079-6",
"1-Chlorohexane/water","298.15","141492.22","DOI 10.1007/s10822-006-9079-6",
"1-Chloropropane/water","298.15","1754.61","DOI 10.1007/s10822-006-9079-6",
"1-Iodopropane/water","298.15","8518.54","DOI 10.1007/s10822-006-9079-6",
"2-Bromobutane/water","298.15","8349.86","DOI 10.1007/s10822-006-9079-6",
"2-Bromopropane/water","298.15","2079.74","DOI 10.1007/s10822-006-9079-6",
"2-Chlorobutane/water","298.15","5115.34","DOI 10.1007/s10822-006-9079-6",
"2-Chloropropane/water","298.15","1480.3","DOI 10.1007/s10822-006-9079-6",
"2-Iodopropane/water","298.15","6768.26","DOI 10.1007/s10822-006-9079-6",
"3-Bromo-1-propene/water","298.15","1754.61","DOI 10.1007/s10822-006-9079-6",
"3-Chloro-1-propene/water","298.15","1064.22","DOI 10.1007/s10822-006-9079-6",
"Benzyl chloride/water","298.15","31888.48","DOI 10.1007/s10822-006-9079-6",
"Bromoethane/water","298.15","678.58","DOI 10.1007/s10822-006-9079-6",
"Chloroethane/water","298.15","395.44","DOI 10.1007/s10822-006-9079-6",
"Iodobenzene/water","298.15","54176.36"
"Iodoethane/water","298.15","2186.37","DOI 10.1007/s10822-006-9079-6",
"Pentachloroethane/water","298.15","23860.99","DOI 10.1007/s10822-006-9079-6",
