"system","T(K)","gamainf","ref"
"N-butane/N-cosane",353.15,0.830,"http://dx.doi.org/10.1021/je60065a015"
"N-butane/N-docosane",353.15,0.805,"http://dx.doi.org/10.1021/je60065a015"
"N-butane/N-tetracosane",353.15,0.739,"http://dx.doi.org/10.1021/je60065a015"
"N-butane/N-octacosane",353.15,0.693,"http://dx.doi.org/10.1021/je60065a015"
"N-butane/N-triacontane",353.15,0.681,"http://dx.doi.org/10.1021/je60065a015"
"N-butane/N-dotriacontane",353.15,0.639,"http://dx.doi.org/10.1021/je60065a015"
"N-butane/N-tetratriacontane",353.15,0.619,"http://dx.doi.org/10.1021/je60065a015"
"N-butane/N-hexatriacontane",353.15,0.594,"http://dx.doi.org/10.1021/je60065a015"
"N-pentane/N-cosane",353.15,0.835,"http://dx.doi.org/10.1021/je60065a015"
"N-pentane/N-docosane",353.15,0.816,"http://dx.doi.org/10.1021/je60065a015"
"N-pentane/N-tetracosane",353.15,0.753,"http://dx.doi.org/10.1021/je60065a015"
"N-pentane/N-octacosane",353.15,0.698,"http://dx.doi.org/10.1021/je60065a015"
"N-pentane/N-triacontane",353.15,0.680,"http://dx.doi.org/10.1021/je60065a015"
"N-pentane/N-dotriacontane",353.15,0.654,"http://dx.doi.org/10.1021/je60065a015"
"N-pentane/N-tetratriacontane",353.15,0.631,"http://dx.doi.org/10.1021/je60065a015"
"N-pentane/N-hexatriacontane",353.15,0.606,"http://dx.doi.org/10.1021/je60065a015"
"N-hexane/N-cosane",353.15,0.872,"http://dx.doi.org/10.1021/je60065a015"
"N-hexane/N-docosane",353.15,0.859,"http://dx.doi.org/10.1021/je60065a015"
"N-hexane/N-tetracosane",353.15,0.801,"http://dx.doi.org/10.1021/je60065a015"
"N-hexane/N-octacosane",353.15,0.736,"http://dx.doi.org/10.1021/je60065a015"
"N-hexane/N-triacontane",353.15,0.712,"http://dx.doi.org/10.1021/je60065a015"
"N-hexane/N-dotriacontane",353.15,0.689,"http://dx.doi.org/10.1021/je60065a015"
"N-hexane/N-tetratriacontane",353.15,0.665,"http://dx.doi.org/10.1021/je60065a015"
"N-hexane/N-hexatriacontane",353.15,0.639,"http://dx.doi.org/10.1021/je60065a015"
"N-heptane/N-cosane",353.15,0.899,"http://dx.doi.org/10.1021/je60065a015"
"N-heptane/N-docosane",353.15,0.893,"http://dx.doi.org/10.1021/je60065a015"
"N-heptane/N-tetracosane",353.15,0.831,"http://dx.doi.org/10.1021/je60065a015"
"N-heptane/N-octacosane",353.15,0.768,"http://dx.doi.org/10.1021/je60065a015"
"N-heptane/N-triacontane",353.15,0.743,"http://dx.doi.org/10.1021/je60065a015"
"N-heptane/N-dotriacontane",353.15,0.721,"http://dx.doi.org/10.1021/je60065a015"
"N-heptane/N-tetratriacontane",353.15,0.696,"http://dx.doi.org/10.1021/je60065a015"
"N-heptane/N-hexatriacontane",353.15,0.672,"http://dx.doi.org/10.1021/je60065a015"
"N-octane/N-cosane",353.15,0.922,"http://dx.doi.org/10.1021/je60065a015"
"N-octane/N-docosane",353.15,0.927,"http://dx.doi.org/10.1021/je60065a015"
"N-octane/N-tetracosane",353.15,0.854,"http://dx.doi.org/10.1021/je60065a015"
"N-octane/N-octacosane",353.15,0.796,"http://dx.doi.org/10.1021/je60065a015"
"N-octane/N-triacontane",353.15,0.772,"http://dx.doi.org/10.1021/je60065a015"
"N-octane/N-dotriacontane",353.15,0.753,"http://dx.doi.org/10.1021/je60065a015"
"N-octane/N-tetratriacontane",353.15,0.728,"http://dx.doi.org/10.1021/je60065a015"
"N-octane/N-hexatriacontane",353.15,0.701,"http://dx.doi.org/10.1021/je60065a015"
"N-decane/N-cosane",353.15,0.969,"http://dx.doi.org/10.1021/je60065a015"
"N-decane/N-docosane",353.15,0.950,"http://dx.doi.org/10.1021/je60065a015"
"N-decane/N-tetracosane",353.15,0.895,"http://dx.doi.org/10.1021/je60065a015"
"N-decane/N-octacosane",353.15,0.845,"http://dx.doi.org/10.1021/je60065a015"
"N-decane/N-triacontane",353.15,0.830,"http://dx.doi.org/10.1021/je60065a015"
"N-decane/N-dotriacontane",353.15,0.817,"http://dx.doi.org/10.1021/je60065a015"
"N-decane/N-tetratriacontane",353.15,0.782,"http://dx.doi.org/10.1021/je60065a015"
"N-decane/N-hexatriacontane",353.15,0.751,"http://dx.doi.org/10.1021/je60065a015"
"2-methylbutane/N-cosane",353.15,0.861,"http://dx.doi.org/10.1021/je60065a015"
"2-methylbutane/N-docosane",353.15,0.846,"http://dx.doi.org/10.1021/je60065a015"
"2-methylbutane/N-tetracosane",353.15,0.779,"http://dx.doi.org/10.1021/je60065a015"
"2-methylbutane/N-octacosane",353.15,0.710,"http://dx.doi.org/10.1021/je60065a015"
"2-methylbutane/N-triacontane",353.15,0.699,"http://dx.doi.org/10.1021/je60065a015"
"2-methylbutane/N-dotriacontane",353.15,0.674,"http://dx.doi.org/10.1021/je60065a015"
"2-methylbutane/N-tetratriacontane",353.15,0.652,"http://dx.doi.org/10.1021/je60065a015"
"2-methylbutane/N-hexatriacontane",353.15,0.629,"http://dx.doi.org/10.1021/je60065a015"
"2-methylpentane/N-cosane",353.15,0.891,"http://dx.doi.org/10.1021/je60065a015"
"2-methylpentane/N-docosane",353.15,0.881,"http://dx.doi.org/10.1021/je60065a015"
"2-methylpentane/N-tetracosane",353.15,0.816,"http://dx.doi.org/10.1021/je60065a015"
"2-methylpentane/N-octacosane",353.15,0.755,"http://dx.doi.org/10.1021/je60065a015"
"2-methylpentane/N-triacontane",353.15,0.731,"http://dx.doi.org/10.1021/je60065a015"
"2-methylpentane/N-dotriacontane",353.15,0.708,"http://dx.doi.org/10.1021/je60065a015"
"2-methylpentane/N-tetratriacontane",353.15,0.683,"http://dx.doi.org/10.1021/je60065a015"
